Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.00099373,0.040537,-0.0022835,0,0,0,0.427,3.4364E-05,-1.2404E-06,5.654E-07,3.9467E-05,3.8955E-06,6.3984E-05,0,0,0,0,0,0,package://BrainCoRightHandURDF/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://BrainCoRightHandURDF/meshes/base_link.STL,,PALM^BrainCoRightHand-1,CSbase,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
thumb_prox,0.0062041,-7.9383E-08,0.0015306,0,0,0,0.005,4.0639E-08,5.8675E-13,2.4299E-09,9.2485E-08,7.1049E-13,8.5586E-08,0,0,0,0,0,0,package://BrainCoRightHandURDF/meshes/thumb_prox.STL,1,1,1,1,0,0,0,0,0,0,package://BrainCoRightHandURDF/meshes/thumb_prox.STL,,STARK-THMB-LINK-2.0-1,CStmbcmc,Atmbcmc,thumbCMC,revolute,0.0245,0.0242,0.021628,0,-0.49642,0,base_link,0,-1,0,0,0,0,1.5708,,,,,,,,
thumb_dist,0.0083564,0.037204,-3.5884E-07,0,0,0,0.04,7.1498E-06,2.0157E-07,-6.0726E-11,9.1501E-07,5.4502E-10,6.8747E-06,0,0,0,0,0,0,package://BrainCoRightHandURDF/meshes/thumb_dist.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://BrainCoRightHandURDF/meshes/thumb_dist.STL,,ThumbDist^BrainCoRightHand-1,CStmbmcp,Atmbmcp,thumbMCP,revolute,0.013647,0,0,-0.39332,0.31115,-0.93514,thumb_prox,0,0,1,0,0,0,0.87266,,,,,,,,
index_prox,-5.571E-07,0.016609,0.00045746,0,0,0,0.008,3.3526E-07,2.9401E-11,-2.4782E-12,1.0133E-07,2.0576E-08,3.7092E-07,0,0,0,0,0,0,package://BrainCoRightHandURDF/meshes/index_prox.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://BrainCoRightHandURDF/meshes/index_prox.STL,,IFngProx^BrainCoRightHand-1,CSIFMCP,Aifmcp,indexMCP,revolute,0.029003,0.088231,-0.0039488,-0.09929,-0.054667,-0.031168,base_link,1,0,0,0,0,0,1.309,,,,,,,,
index_dist,5.9401E-06,0.025449,0.003278,0,0,0,0.011,8.4801E-07,-1.0878E-09,-1.3683E-10,1.4147E-07,-1.0078E-07,8.5502E-07,0,0,0,0,0,0,package://BrainCoRightHandURDF/meshes/index_dist.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://BrainCoRightHandURDF/meshes/index_dist.STL,,IFngDist-1,CSIFPIP,Aifpip,indexPIP,revolute,0,0.035,0,0.19353,0,0,index_prox,1,0,0,0,0,0,2.0944,,,,,,,,
middle_prox,2.3779E-07,0.020205,0.00053993,0,0,0,0.011,5.5624E-07,8E-12,-8.5151E-12,1.3298E-07,2.669E-08,6.0146E-07,0,0,0,0,0,0,package://BrainCoRightHandURDF/meshes/middle_prox.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://BrainCoRightHandURDF/meshes/middle_prox.STL,,MFngPROX^BrainCoRightHand-1,CSMFMCP,Amfmcp,middleMCP,revolute,0.008,0.091935,-0.0082038,-0.069813,0,0,base_link,1,0,0,0,0,0,1.309,,,,,,,,
middle_dist,5.9404E-06,0.025449,0.003278,0,0,0,0.011,8.4801E-07,-1.0879E-09,-1.3705E-10,1.4147E-07,-1.0078E-07,8.5501E-07,0,0,0,0,0,0,package://BrainCoRightHandURDF/meshes/middle_dist.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://BrainCoRightHandURDF/meshes/middle_dist.STL,,MFngDist^BrainCoRightHand-1,CSMFPIP,Amfpip,middlePIP,revolute,0,0.042,0,0.18357,0,0,middle_prox,1,0,0,0,0,0,2.0944,,,,,,,,
ring_prox,2.4507E-07,0.020236,0.00042373,0,0,0,0.011,5.5623E-07,7.4604E-12,-8.5876E-12,1.3295E-07,2.7719E-08,6.0149E-07,0,0,0,0,0,0,package://BrainCoRightHandURDF/meshes/ring_prox.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://BrainCoRightHandURDF/meshes/ring_prox.STL,,RFngPROX-1,CSRFMCP,Arfpip,ringMCP,revolute,-0.013103,0.089947,-0.0080786,-0.079113,0.054667,0.031168,base_link,1,0,0,0,0,0,1.309,,,,,,,,
ring_dist,5.5799E-07,0.020388,0.0029077,0,0,0,0.008,3.6793E-07,-6.504E-13,-1.1541E-11,8.4208E-08,-4.5737E-08,3.8369E-07,0,0,0,0,0,0,package://BrainCoRightHandURDF/meshes/ring_dist.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://BrainCoRightHandURDF/meshes/ring_dist.STL,,RFngDist-1,CSRFPIP,Arfpip,ringPIP,revolute,0,0.042,0,0.16583,0,0,ring_prox,1,0,0,0,0,0,2.0944,,,,,,,,
little_prox,-5.4618E-07,0.016662,0.00040738,0,0,0,0.008,3.3526E-07,2.8461E-11,-2.3358E-12,1.0129E-07,2.1346E-08,3.7096E-07,0,0,0,0,0,0,package://BrainCoRightHandURDF/meshes/little_prox.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://BrainCoRightHandURDF/meshes/little_prox.STL,,LFngPROX^BrainCoRightHand-1,CSLFMCP,Alfmcp,littleMCP,revolute,-0.033731,0.083727,-0.0036339,-0.094666,0.057099,0.065996,base_link,1,0,0,0,0,0,1.309,,,,,,,,
